#num-in-GS,#num-in-dataset,VerbNet category,opposite,predicate,predicate-simplified,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33
132,32300,use-105,usedBy,uses,uses,apply,employ,exert,exploit,reuse,use,utilize,utilise,adopt,leverage,rely,access,,,,,,,,,,,,,,,,,,,,,,
34,19027,create-26.4,producedBy,produces,produces,author,coin,compose,compute,conoct,construct,contrive,cowrite,create,derive,draft,fabricate,form,formulate,invent,manufacture,model,organize,produce,rebuild,recreate,style,synthesize,write,generate,design,develop,implement,deploy,make,do,,,
80,16014,fulfilling-13.4.1,providedBy,provides,provides,present,furnish,resupply,serve,supply,provide,yield,give,add,assign,,,,,,,,,,,,,,,,,,,,,,,,
116,14699,support-15.3,supportedBy,supports,supports,help,support,aid,assist,back,underlie,enable,promote,empower,facilitate,foster,facilitate,allow,hold,bear,,,,,,,,,,,,,,,,,,,
36,14128,seem-109 or N/A,skos:narrower,skos:broader/is/hyponym-of,is,hyponym-of,represent,denote,symbolize,be,signify,represent,mean,consist,constitute,correspond,,,,,,,,,,,,,,,,,,,,,,,
33,13093,"say-37.7-1 , say-37.7-2",proposedBy,proposes,proposes,propose,report,say,state,recommend,suggest,hint,introduce,outline,promise,,,,,,,,,,,,,,,,,,,,,,,,
37,12883,base-91.7,bases,based-on,base,base,ground,found,construe,build,establish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9201,,improvedBy,improves,improves,improve,evolve,grow,enrich,expand,augment,raise,enhance,advance,gain,optimize,,,,,,,,,,,,,,,,,,,,,,,
28,7389,involve-107.1,includedBy,includes,includes,relate,include,involve,engage,enroll,embed,contain,comprise,carry,cover,consider,share,mount,have,equip,install,,,,,,,,,,,,,,,,,,
25,6412,,identifiedBy,identifies,identify,identify,detect,filter,recognize,locate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4706,obtain-13.5.2,acquiredBy,acquires,acquires,select,accumulate,recoup,source,receive,acquire,regain,retrieve,obtain,accrue,borrow,subselect,inherit,accept,collect,gather,store,attract,get,capture,record,achieve,,,,,,,,,,,,
14,3797,adjust-26.9,adaptedBy,adapts,adapts,readapt,adjust,conform,adapt,gear,readjust,fit,assimilate,accommodate,personalize,customize,specialize,generalize,tailor,refine,,,,,,,,,,,,,,,,,,,
0,3245,assessment-34.1,analyzedBy,analyzes,analyzes,analyze,assess,study,try_on,scan,approximate,proofread,inspect,sample,research,check,appraise,analyse,examine,watch,audit,feel_out,go_over,consult,survey,test,assay,try,evaluate,investigate,monitor,regard,peruse,review,try_out,measure,calculate,address,estimate
21,3115,tape-22.4,linkedBy,links,links,fasten,strap,hook,lasso,leash,reeve,peg,rope,seal,clamp,latch,chain,band,trammel,shackle,clasp,knot,button,lock,moor,buckle,yoke,manacle,screw,link,string,pin,tether,paste,anchor,bond,wire,connect,
7,2347,harmonize-22.6,matchedBy,matches,matches,harmonize,go,square,dovetail,couple,pair,alternate,align,map,compare,match,,,,,,,,,,,,,,,,,,,,,,,
2,2005,caring-75.2,managedBy,manages,manages,look_out,wait_on,look_after,care,manage,maintain,preserve,keep,handle,treat,deal,configure,,,,,,,,,,,,,,,,,,,,,,
0,1616,settle-36.1.2,interacts-with,interacts-with,interacts,renegotiate,compromise,agree,debate,interact,collaborate,disagree,communicate,haggle,interlink,participate,,,,,,,,,,,,,,,,,,,,,,,
12,1602,,queriedBy,queries,queries,query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1189,accompany-51.7,guidedBy,guides,guides,steer,conduct,guide,misdirect,lead,escort,accompany,direct,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1180,,automatedBy,automates,automates,automate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,507,,lackedOf,lacks,lacks,lack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,495,limit-76,limitedBy,limits,limits,reduce,limit,confine,restrain,constrain,restrict,prevent,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,472,amuse-31.1,affectedBy,affects,affects,placate,provoke,engage,console,impair,repulse,shake,discombobulate,threaten,inflame,thrill,satisfy,unsettle,kill,enrapture,outrage,disgruntle,reassure,discompose,interest,alarm,engross,afflict,manipulate,edit,update,increase,replace,modify,fatigue,refresh,cut,,
2,447,,processedBy,processes,processes,process,proces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,385,contribute-13.2,contributedBy,contributes-to,contributes,abnegate,gift,pass_out,turn-over,restore,turn-in,give-out,disburse,give-away,proffer,distribute,remit,transfer,extend,shell_out,give-up,hand_out,refer,disseminate,contribute,,,,,,,,,,,,,,
0,369,,causedBy,causes,causes,cause,influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,330,classify-29.10,classifiedBy,classifies,classifies,regroup,bracket,categorize,recode,chunk,code,separate,group,sort,sort_out,catalogue,classify,class,number,seed,reclassify,grade,,,,,,,,,,,,,,,,,
2,269,image_impression-25.1,annotatedBy,annotates,annotates,scar,stipple,annotate,stamp,embroider,incise,inscribe,engrave,applique,imprint,paint,reinscribe,mark,sign,tag,label,,,,,,,,,,,,,,,,,,
0,260,,visualizedBy,visualizes,visualizes,visualize,disclose,reflect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,184,indicate-78,predictedBy,predicts,predicts,denote,corroborate,indicate,imply,predict,anticipate,forebode,say,expose,prognosticate,explain,forecast,,,,,,,,,,,,,,,,,,,,,,
0,97,other_cos-45.4 (??),standardizedBy,standardizes,standardizes,standardize,standardise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,learn-14,learnedBy,learns,learns,memorize,glean,learn,study,absorb,assimilate,cram,relearn,read,,,,,,,,,,,,,,,,,,,,,,,,,
,,act-114,executedBy,executes,executes,perform,execute,operate,run,simulate,play,work,train,action,,,,,,,,,,,,,,,,,,,,,,,,,
,,,outperformedBy,outperforms,outperforms,outperform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,extractedBy,extracts,extracts,extract,mine,induce,infer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,highlightedBy,highlights,highlights,highlight,emphasize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,send-11.1,transferredBy,transfers,transfers,deliver,dispatch,shunt,airmail,import,forward,ship,send,transship,transmit,pass,hand,transport,shift,export,express,post,wire,transfer,drive,slip,port,return,convey,handdeliver,mail,answer,,,,,,,
,,discover-84,solvedBy,solves,solves,find,determine,see,rationalize,guess,deduce,solve,discover,pick_up,ascertain,realize,relearn,ascertain,realize,relearn,fix,,,,,,,,,,,,,,,,,,
,,chit_chat-37.6,discussedBy,discusses,discusses,debate,discuss,chatter,confer,converse,argue,discus,,,,,,,,,,,,,,,,,,,,,,,,,,,